horizon,step,date,actual_close,q025,q050,q100,q250,q500,q750,q900,q950,q975,actual_return_from_forecast_origin,median_error_pct,band,estimated_percentile
20,1,2026-07-02,1866.35,1835.6104463732304,1843.835786491177,1849.124014515076,1859.8093595431228,1868.608081760479,1876.763668325477,1886.291252146743,1890.725456044704,1896.6832225259527,0.0005253649410037475,-0.0012084298374390734,Trong vùng trung tâm 50%,0.435840633881335
20,2,2026-07-03,1862.08,1822.140528293999,1833.6340456439164,1843.77806212724,1857.80928320372,1870.79093865892,1884.5587597560152,1896.592598180788,1902.9759531236807,1911.9562505575848,-0.00176372515908374,-0.004656286535770993,Trong vùng trung tâm 50%,0.3322452269477162
20,3,2026-07-06,1843.5,1818.5697085640084,1833.369648955332,1843.9433739928445,1857.9690373245285,1873.907025643182,1890.1980749484603,1907.0891790210533,1917.5789415458376,1928.3697033681497,-0.011724215571173535,-0.016226539111643068,Đuôi thấp của vùng 95%,0.09790341629240625
20,4,2026-07-07,1848.25,1814.529182638394,1827.1035288662897,1840.0191797886348,1857.8468821468416,1876.1105881826445,1895.2070938719703,1915.421019002344,1930.6289407711035,1949.047085590469,-0.009177803867329248,-0.014850184396450028,Trong vùng 80%,0.16925306508364682
20,5,2026-07-08,1853.7,1805.9696293395243,1824.1403214645952,1837.9154708433148,1856.101389206864,1879.0531958632853,1900.9491629892425,1923.547731921771,1941.901486551201,1961.101473108838,-0.006256131491339412,-0.013492537581745956,Trong vùng 80%,0.23019300571855755
20,6,2026-07-09,1840.7,1790.1729811441346,1815.5301696201825,1831.426692619424,1855.6442115707944,1881.830677080864,1907.2289605015476,1934.244608193361,1953.910954342964,1973.5036489933389,-0.013225258259755401,-0.021856736411942634,Trong vùng 80%,0.1574375975457918
20,7,2026-07-10,1828.34,1767.2252051054784,1806.410906969404,1826.159762368745,1857.147111216451,1881.29519090457,1910.8030900944525,1941.3957483212696,1960.7787220354276,1987.3398290147743,-0.01985128955649551,-0.028148262516478395,Trong vùng 80%,0.11055384396695288
20,8,2026-07-13,1800.54,1753.226589965766,1794.46713689823,1826.613884777096,1857.8203253349309,1883.899539893894,1914.438273197972,1949.2896844347435,1978.605125758547,2013.3532585878395,-0.03475449910741568,-0.044248399730799304,Đuôi thấp của vùng 95%,0.059445532600457034
40,1,2026-07-02,1866.35,1834.7276112361508,1844.0100992736072,1850.9322068686888,1859.7753180118605,1868.5428915837024,1877.0804905909429,1886.606251178495,1891.8704235281723,1896.968831124073,0.0005253649410037475,-0.0011735837553313866,Trong vùng trung tâm 50%,0.4374715374289757
40,2,2026-07-03,1862.08,1823.2154459199944,1836.8949817913528,1845.7393070388864,1858.5542271663296,1871.0849528605263,1883.5837440036369,1897.5324197246664,1907.5009425516123,1916.9229602729863,-0.00176372515908374,-0.00481269054446698,Trong vùng trung tâm 50%,0.320342550777071
40,3,2026-07-06,1843.5,1814.2323181240624,1832.670095393769,1843.5718885954664,1859.0415085900013,1874.640579612352,1889.546592554577,1907.341412040979,1919.3177474401623,1930.321974891221,-0.011724215571173535,-0.016611493398265953,Đuôi thấp của vùng 95%,0.09967029004248967
40,4,2026-07-07,1848.25,1807.6716916651892,1822.875659622527,1839.331887165239,1858.9404564265,1877.2202047588264,1895.45663647412,1914.851734110617,1927.81807767186,1943.395158289849,-0.009177803867329248,-0.015432502103581602,Trong vùng 80%,0.16822103680236128
40,5,2026-07-08,1853.7,1798.531994695512,1815.6095855695503,1836.4999863404096,1858.0585518545308,1879.6756322580504,1900.7335154841303,1923.4557007157828,1939.0008856072725,1953.7022530118209,-0.006256131491339412,-0.013819209980844405,Trong vùng 80%,0.21967410573994922
40,6,2026-07-09,1840.7,1792.3517223276212,1812.272010355077,1834.240389257408,1859.231011727829,1881.1255664314644,1906.0163981462008,1931.966334902516,1950.8466655454629,1971.487156813016,-0.013225258259755401,-0.021490094628904832,Trong vùng 80%,0.1387722079566308
40,7,2026-07-10,1828.34,1783.953039637866,1811.9147662046691,1830.5984464489943,1860.141851946713,1883.9576306392737,1911.652001541768,1939.733213327527,1965.6615340153987,1991.717355039204,-0.01985128955649551,-0.029521699285987357,Đuôi thấp của vùng 95%,0.09395609853235325
40,8,2026-07-13,1800.54,1763.5457492913872,1805.9001339874508,1829.761706808316,1858.667798163986,1888.6031132123169,1917.4428237178329,1947.2227783932644,1967.503893561737,1990.6809101399697,-0.03475449910741568,-0.04662870276779896,Đuôi thấp của vùng 95%,0.04683613985546284
60,1,2026-07-02,1866.35,1839.6481149455933,1844.384766498688,1850.2918281287416,1859.7342085030075,1868.1222241176447,1876.597349874864,1886.1729422773608,1892.954422385716,1899.7995542254732,0.0005253649410037475,-0.0009486660427059368,Trong vùng trung tâm 50%,0.44717987545969073
60,2,2026-07-03,1862.08,1823.130667984902,1835.2704170842485,1845.314633234928,1857.9017819156536,1871.2733878362128,1883.5386684004227,1896.985994777169,1906.1193013596005,1916.5968331613824,-0.00176372515908374,-0.004912904707549681,Trong vùng trung tâm 50%,0.3281173575778621
60,3,2026-07-06,1843.5,1820.4872888489383,1829.85482997914,1842.0360096316851,1858.2264396435528,1874.278806777564,1889.711471229519,1907.0028287431296,1922.0591823369657,1935.1141514523383,-0.011724215571173535,-0.016421679990332727,Trong vùng 80%,0.11356347886289997
60,4,2026-07-07,1848.25,1807.1104734348585,1821.125537574031,1835.9304134865297,1857.0647672208115,1877.1044257577507,1895.5436083940333,1913.4590461521077,1930.794074215696,1946.432843101014,-0.009177803867329248,-0.015371774399872695,Trong vùng 80%,0.18743763827625468
60,5,2026-07-08,1853.7,1801.2015896859484,1813.8443232856628,1833.285661331276,1857.12489122352,1879.069044071606,1901.7323674078737,1922.332107370191,1943.3036042912345,1962.915918710793,-0.006256131491339412,-0.013500857859185311,Trong vùng 80%,0.2284500721772415
60,6,2026-07-09,1840.7,1789.2960873783911,1807.948603045368,1830.133157002138,1856.6229964371923,1882.96108550591,1907.9324642109416,1932.6677880352584,1952.95610857859,1970.221854121207,-0.013225258259755401,-0.022443950558094117,Trong vùng 80%,0.15983526074460924
60,7,2026-07-10,1828.34,1785.093827722217,1810.6708155271492,1828.5585741573493,1856.469465533315,1885.7189320072252,1912.10073292526,1942.114038918844,1964.9002484854016,1992.585414330255,-0.01985128955649551,-0.03042814654575754,Đuôi thấp của vùng 95%,0.09938903984040692
60,8,2026-07-13,1800.54,1765.8705782612358,1800.044285081892,1825.1474945168304,1858.755785694868,1889.7812995748327,1920.410349089385,1951.2328889887935,1984.0356205033504,2022.0880347400196,-0.03475449910741568,-0.04722308321862978,Đuôi thấp của vùng 95%,0.05098735366765105
