model,horizon,n_obs,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,brier,log_loss,ece,recall_bull,recall_sideway,recall_bear,recall_stress,fold
RAEMF-MC,20,628,0.1751592356687898,0.1629238103605526,0.17695080819245818,0.1629238103605526,0.14801918554414678,0.18672497179565292,-0.09908489828096179,0.782309313900801,1.44776551255207,0.14310392913181846,0.23616236162361623,0.07653061224489796,0.06349206349206349,0.2755102040816326,0
RAEMF-MC,20,629,0.31001589825119236,0.28907589551437796,0.26137767816198193,0.28907589551437796,0.26444492747827875,0.2952961545023112,0.04728344788397355,0.73914513133803,1.3665675674010342,0.05003406727186017,0.10880829015544041,0.4444444444444444,0.12,0.4830508474576271,1
RAEMF-MC,20,629,0.356120826709062,0.255911768106321,0.3535882041808766,0.255911768106321,0.24519640818850172,0.33459555683867714,-0.0033593834032350093,0.7081306479133057,1.2927499043823387,0.05181497914892254,0.40293040293040294,0.4835680751173709,0.016666666666666666,0.12048192771084337,2
RAEMF-MC,40,626,0.16773162939297126,0.18371855057179248,0.24631087455379908,0.18371855057179248,0.14291224449685533,0.17796166071392688,-0.06784441384038564,0.7855448638551682,1.4462871644400253,0.17730335342151926,0.12867647058823528,0.15270935960591134,0.0,0.45348837209302323,0
RAEMF-MC,40,627,0.3237639553429027,0.30711510156646776,0.315455478852051,0.30711510156646776,0.2949355806764593,0.33804256713137426,0.09249146794952993,0.737233305521787,1.3601528648355155,0.02799792130064986,0.43315508021390375,0.2723735408560311,0.20754716981132076,0.3153846153846154,1
RAEMF-MC,40,627,0.4370015948963317,0.2894629750744859,0.32507176391683434,0.2894629750744859,0.27028312114735314,0.3942238598526656,0.0844995054729986,0.6919252327726942,1.2661419206552098,0.08112762718840306,0.60431654676259,0.4880382775119617,0.044444444444444446,0.021052631578947368,2
RAEMF-MC,60,624,0.17147435897435898,0.22872878306009006,0.20420317634173055,0.22872878306009006,0.13123143100159676,0.12524262249975604,-0.044126508281358626,0.7927603032926114,1.463210373559759,0.1975915902935595,0.034013605442176874,0.13513513513513514,0.02127659574468085,0.7244897959183674,0
RAEMF-MC,60,625,0.2656,0.24210899408193665,0.2592550790220529,0.24210899408193665,0.23759720174772214,0.2777078123356336,0.013237077031820654,0.7504274965467354,1.386594222638637,0.0650499942375854,0.34759358288770054,0.18775510204081633,0.0975609756097561,0.3355263157894737,1
RAEMF-MC,60,625,0.4816,0.3069364491308065,0.30475542485086493,0.3069364491308065,0.28621158899751276,0.4260169765718153,0.12352828626708941,0.6729919214154884,1.223611894197496,0.13786268244190347,0.7854545454545454,0.33884297520661155,0.10344827586206896,0.0,2
