parameter,regime,regime_label,q025,q50,q975
mu,0,hmm_prob_state_0,0.003914851410555399,0.005109824260662591,0.0063404308289749705
mu,1,hmm_prob_state_1,-0.0007193238254143992,-0.00015969873257515042,0.00029235201107034593
mu,2,hmm_prob_state_2,-0.0021563188241204858,-0.0011822079952537388,-0.00019535345630819736
mu,3,hmm_prob_state_3,-0.006099739666466255,-0.004119231060692305,-0.0022254643466934148
c,0,hmm_prob_state_0,0.8746316999197006,0.9336847066879272,0.9932142600417138
c,1,hmm_prob_state_1,0.7737858027219773,0.8196465373039246,0.8658723130822181
c,2,hmm_prob_state_2,0.8607392996549607,0.9239740967750549,0.9905569553375244
c,3,hmm_prob_state_3,0.8720311939716339,0.9391752779483795,1.0147804081439973
nu,0,hmm_prob_state_0,7.839419889450073,10.551010131835938,13.931074953079222
nu,1,hmm_prob_state_1,7.839419889450073,10.551010131835938,13.931074953079222
nu,2,hmm_prob_state_2,7.839419889450073,10.551010131835938,13.931074953079222
nu,3,hmm_prob_state_3,7.839419889450073,10.551010131835938,13.931074953079222
