,mu_0,mu_1,mu_2,mu_3,c_0,c_1,c_2,c_3,nu_0,nu_1,nu_2,nu_3
mu_0,1.0,0.04784471321578849,-0.04765114126313872,0.07535562495575328,0.1341494931102789,-0.1677804690860121,-0.02923480977255014,-0.05463400674167602,0.008677674947801767,0.008677674947801767,0.008677674947801767,0.008677674947801767
mu_1,0.04784471321578849,1.0,0.03269353593969247,0.12136654481600626,0.005819431698617534,0.013871649437771666,0.08973580545142036,0.009786665582137878,-0.005019225730447805,-0.005019225730447805,-0.005019225730447805,-0.005019225730447805
mu_2,-0.04765114126313872,0.03269353593969247,1.0,-0.1316249118263242,0.01337371515810893,-0.0173551692195287,0.09246166676944524,0.146922396818887,-0.10031122519665805,-0.10031122519665805,-0.10031122519665805,-0.10031122519665805
mu_3,0.07535562495575328,0.12136654481600626,-0.1316249118263242,1.0,-0.026250709015519152,0.055876318939408164,0.07331750053179857,-0.20026679210427478,-0.0019284583106164064,-0.0019284583106164064,-0.0019284583106164064,-0.0019284583106164064
c_0,0.1341494931102789,0.005819431698617534,0.01337371515810893,-0.026250709015519152,1.0,0.07805319162158134,0.01392071591269685,-0.04825926696888372,0.3237769389492313,0.3237769389492313,0.3237769389492313,0.3237769389492313
c_1,-0.1677804690860121,0.013871649437771666,-0.0173551692195287,0.055876318939408164,0.07805319162158134,1.0,0.17435269531715475,-0.04630259638184302,0.2668221055241765,0.2668221055241765,0.2668221055241765,0.2668221055241765
c_2,-0.02923480977255014,0.08973580545142036,0.09246166676944524,0.07331750053179857,0.01392071591269685,0.17435269531715475,1.0,0.06253043640911946,0.318691004036347,0.318691004036347,0.318691004036347,0.318691004036347
c_3,-0.05463400674167602,0.009786665582137878,0.146922396818887,-0.20026679210427478,-0.04825926696888372,-0.04630259638184302,0.06253043640911946,1.0,0.2569360778753535,0.2569360778753535,0.2569360778753535,0.2569360778753535
nu_0,0.008677674947801767,-0.005019225730447805,-0.10031122519665805,-0.0019284583106164064,0.3237769389492313,0.2668221055241765,0.318691004036347,0.2569360778753535,1.0,1.0,1.0,1.0
nu_1,0.008677674947801767,-0.005019225730447805,-0.10031122519665805,-0.0019284583106164064,0.3237769389492313,0.2668221055241765,0.318691004036347,0.2569360778753535,1.0,1.0,1.0,1.0
nu_2,0.008677674947801767,-0.005019225730447805,-0.10031122519665805,-0.0019284583106164064,0.3237769389492313,0.2668221055241765,0.318691004036347,0.2569360778753535,1.0,1.0,1.0,1.0
nu_3,0.008677674947801767,-0.005019225730447805,-0.10031122519665805,-0.0019284583106164064,0.3237769389492313,0.2668221055241765,0.318691004036347,0.2569360778753535,1.0,1.0,1.0,1.0
