horizon,benchmark,metric,mean_diff,ci_low,ci_high
20,XGBoost,brier,0.013964102593509707,-0.005380894995920689,0.02626591754958475
20,XGBoost,log_loss,0.0263173849438167,-0.008803697335498845,0.04697641493477516
20,Random Forest,brier,0.010235637354928998,-0.008606751067804664,0.026607010516012174
20,Random Forest,log_loss,0.01912623137213141,-0.01739624968389901,0.05123554843569792
20,MACD,brier,-0.48475058443413976,-0.5796879230392216,-0.3947325421437298
20,MACD,log_loss,-0.9794541718291472,-1.1547655667221,-0.8120772965430006
40,XGBoost,brier,-0.002889239119640605,-0.025496571352957298,0.015407594711456776
40,XGBoost,log_loss,-0.012344996221197887,-0.05183429553617832,0.02347947136046916
40,Random Forest,brier,-0.007428662928026894,-0.0353486338578385,0.01484403743752436
40,Random Forest,log_loss,-0.025029817346859697,-0.07589425675039085,0.024899678418316498
40,MACD,brier,-0.5532693190141581,-0.6408313763782091,-0.45266163236045903
40,MACD,log_loss,-1.1181239586533782,-1.2723507682297028,-0.9257426984972145
60,XGBoost,brier,0.04477415355865807,0.013263127601118918,0.06970170878609903
60,XGBoost,log_loss,0.07520299331981724,0.018271669252542987,0.11457251530685529
60,Random Forest,brier,0.046753889549453496,0.007744050603743324,0.07741950516355937
60,Random Forest,log_loss,0.07410087271262368,-0.0011700418114244954,0.1339626143720062
60,MACD,brier,-0.44833688553415246,-0.5598062523893207,-0.3509725002897414
60,MACD,log_loss,-0.9307466018200086,-1.1378315023770698,-0.7573885157503022
