feature,importance
upside_vol_40,0.02397892
upside_vol_60,0.023434684
sma_slope_200,0.022040812
parkinson_volatility,0.021254301
hmm_prob_state_3,0.019603152
sma_slope_100,0.019497572
ema_distance_200,0.0190236
downside_vol_60,0.018820485
month,0.018746879
hmm_prob_state_2,0.018197065
volatility_60,0.017536672
volatility_40,0.016885541
sma_distance_200,0.016848257
ema_slope_50,0.016159263
log_volume,0.016047698
log_return_20,0.015960153
quarter,0.015933098
distance_from_low_60,0.015786825
atr_14,0.015501145
downside_vol_40,0.015141564
ewma_volatility,0.015090603
sma_distance_50,0.014939236
ma_cross_100,0.01490989
hmm_expected_return,0.014870463
macd_signal,0.014837752
upside_vol_20,0.014590673
downside_vol_20,0.01448009
ma_cross_200,0.0140746245
drawdown_from_high_40,0.013915942
sma_distance_100,0.013859254
