horizon,scenario_mode,prob_negative_return,prob_drawdown_gt_5pct,prob_drawdown_gt_10pct,prob_drawdown_gt_15pct,var_95,cvar_95
20,point_estimate,0.4066666666666667,0.25133333333333335,0.07266666666666667,0.04066666666666666,0.07537531573618143,0.20260938608097
20,posterior_mean_mc,0.3273333333333333,0.048,0.0006666666666666666,0.0,0.032605436398635064,0.04554764534849485
20,variational_posterior,0.326,0.04533333333333334,0.0026666666666666666,0.0,0.03166975673469048,0.04971508637338244
40,point_estimate,0.38333333333333336,0.5313333333333333,0.2846666666666667,0.2,0.28227287832016335,0.6922822309109802
40,posterior_mean_mc,0.228,0.122,0.012,0.0013333333333333333,0.03905948824144235,0.0671866537905743
40,variational_posterior,0.254,0.13133333333333333,0.016,0.0026666666666666666,0.0452627504863025,0.0685388575628492
60,point_estimate,0.38266666666666665,0.6766666666666666,0.43266666666666664,0.31866666666666665,0.6947256876570658,1.5071529284981204
60,posterior_mean_mc,0.18266666666666667,0.16733333333333333,0.022,0.005333333333333333,0.03510415053026755,0.0639611335206734
60,variational_posterior,0.194,0.17066666666666666,0.023333333333333334,0.004666666666666667,0.034364422225978054,0.06748219791223498
